Grid Position,Drawing X,Drawing Y,00:0b:6b:84:b1:eb,00:11:09:0c:52:8d,00:12:bf:b3:78:f4,00:1e:2a:0e:fd:3e,00:1e:52:82:7c:75,00:1f:33:28:a5:e2,10:9a:dd:8e:0e:77,64:70:02:3e:9f:63,64:70:02:3e:aa:11,64:70:02:3e:aa:d9,64:70:02:3e:aa:ef,74:ea:3a:ea:21:0c,a0:cf:5b:0e:37:61,a0:cf:5b:0e:37:62,a0:cf:5b:3d:9d:31,a0:cf:5b:3e:e0:91,a0:cf:5b:3e:e0:92,f8:d1:11:c4:c2:c8
1,1880,1534,-100,-100,-100,-100,-100,-100,-100,-80,-69,-55,-68,-74,-79,-79,-87,-100,-100,-54
2,2121,1822,-100,-100,-100,-100,-96,-100,-100,-84,-74,-55,-53,-78,-86,-85,-100,-100,-100,-74
3,2124,2079,-100,-100,-100,-100,-100,-100,-100,-91,-66,-48,-63,-71,-100,-100,-100,-100,-100,-80
4,2131,1537,-100,-100,-100,-100,-95,-100,-100,-76,-86,-53,-61,-85,-85,-83,-100,-85,-84,-58
5,2393,1827,-100,-100,-100,-100,-100,-90,-100,-87,-81,-50,-61,-83,-100,-100,-100,-100,-100,-77
6,2395,2074,-100,-100,-100,-100,-100,-100,-100,-82,-73,-50,-63,-76,-100,-100,-100,-86,-86,-77
7,2620,2078,-92,-100,-96,-100,-93,-91,-100,-75,-62,-58,-70,-70,-100,-100,-100,-100,-100,-53
8,2621,1831,-100,-100,-100,-100,-95,-100,-100,-72,-60,-63,-74,-65,-100,-100,-100,-100,-100,-56
9,2629,1533,-100,-100,-100,-100,-85,-100,-100,-68,-86,-68,-68,-83,-100,-100,-100,-85,-85,-49
10,2876,1534,-100,-100,-100,-100,-83,-100,-100,-62,-77,-70,-66,-81,-85,-85,-86,-100,-86,-50
11,2884,2076,-94,-100,-100,-100,-91,-100,-100,-75,-71,-59,-80,-69,-100,-100,-100,-100,-100,-70
12,2885,1829,-100,-92,-100,-100,-92,-89,-100,-70,-65,-58,-75,-69,-100,-100,-100,-100,-100,-73
13,3119,1823,-100,-100,-100,-100,-90,-100,-100,-72,-58,-67,-82,-65,-100,-100,-100,-100,-100,-70
14,3120,1537,-100,-100,-100,-100,-84,-100,-100,-57,-76,-76,-77,-76,-100,-100,-100,-100,-100,-50
15,3121,2083,-100,-100,-100,-100,-88,-87,-100,-69,-54,-53,-54,-59,-100,-100,-100,-100,-100,-68
16,3365,1542,-100,-100,-100,-100,-80,-89,-100,-53,-64,-77,-69,-71,-100,-100,-100,-100,-100,-43
17,3388,2078,-100,-100,-100,-95,-90,-86,-100,-79,-60,-61,-79,-62,-100,-100,-100,-100,-100,-65
18,3389,1828,-94,-100,-94,-100,-90,-86,-93,-78,-52,-66,-88,-56,-100,-100,-100,-100,-100,-68
19,3555,1544,-100,-100,-100,-100,-88,-89,-100,-62,-62,-81,-73,-59,-100,-100,-100,-100,-100,-42
20,3627,1831,-100,-81,-100,-100,-92,-79,-100,-75,-50,-67,-100,-43,-100,-100,-100,-100,-100,-55
21,3628,2085,-100,-80,-100,-100,-100,-82,-100,-75,-47,-75,-100,-53,-100,-100,-100,-100,-100,-84
22,3884,1832,-100,-86,-100,-100,-100,-83,-100,-83,-42,-72,-100,-41,-100,-100,-100,-100,-100,-83
23,3884,2091,-100,-100,-100,-100,-100,-79,-100,-100,-48,-72,-90,-50,-100,-100,-100,-100,-100,-87
24,3888,1602,-100,-100,-100,-100,-88,-87,-100,-65,-54,-84,-76,-62,-100,-100,-100,-100,-100,-47
25,4135,1824,-100,-100,-100,-100,-100,-86,-100,-80,-45,-75,-88,-53,-100,-100,-100,-100,-100,-78
